"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"0","2019-10-13T13:04:10.024Z","50.0107999","8.0410603","88.09003254060399","0.06","0.04","3","155"
"62.5625","2019-10-13T13:04:10.079Z","50.0107998","8.0410601","88.09403254060398","0.076","0.06","3","155"
"125.125","2019-10-13T13:04:10.134Z","50.0108","8.0410602","88.05303254060398","0.029","0.08","3","155"
"187.6875","2019-10-13T13:04:10.189Z","50.0108001","8.0410602","88.04303254060396","0.042","0.03","3","155"
"250.25","2019-10-13T13:04:10.244Z","50.0108001","8.0410603","88.03003254060398","0.01","0.04","3","155"
"312.8125","2019-10-13T13:04:10.299Z","50.0108001","8.0410603","88.02103254060397","0.011","0.01","3","155"
"375.375","2019-10-13T13:04:10.354Z","50.0108","8.0410602","88.00803254060396","0.025","0.01","3","155"
"437.9375","2019-10-13T13:04:10.409Z","50.0107999","8.0410602","87.99403254060398","0.024","0.03","3","155"
"500.5","2019-10-13T13:04:10.464Z","50.0107998","8.0410602","87.98903254060396","0.043","0.03","3","155"
"563.0625","2019-10-13T13:04:10.519Z","50.0107997","8.0410603","87.97103254060399","0.01","0.04","3","155"
"625.625","2019-10-13T13:04:10.574Z","50.0107997","8.0410604","87.95603254060397","0.044","0.02","3","155"
"688.1875","2019-10-13T13:04:10.629Z","50.0107996","8.0410604","87.95003254060397","0.043","0.05","3","155"
"750.75","2019-10-13T13:04:10.684Z","50.0107995","8.0410604","87.94903254060397","0.009","0.04","3","155"
"813.3125","2019-10-13T13:04:10.739Z","50.0107995","8.0410603","87.93703254060397","0.015","0.01","3","155"
"875.875","2019-10-13T13:04:10.794Z","50.0107994","8.0410601","87.94003254060398","0.027","0.02","3","155"
"938.4375","2019-10-13T13:04:10.849Z","50.0107993","8.04106","87.94103254060398","0.002","0.03","3","155"
"1001","2019-10-13T13:04:10.904Z","50.0107991","8.0410598","87.94003254060398","0.03","0.01","3","155"
"1053.6842105263158","2019-10-13T13:04:10.959Z","50.010799","8.0410597","87.93603254060396","0.023","0.03","3","155"
"1106.3684210526317","2019-10-13T13:04:11.014Z","50.0107989","8.0410595","87.93503254060398","0.022","0.03","3","155"
"1159.0526315789475","2019-10-13T13:04:11.069Z","50.0107989","8.0410593","87.92503254060397","0.04","0.02","3","155"
"1211.7368421052633","2019-10-13T13:04:11.124Z","50.0107989","8.0410593","87.93903254060398","0.044","0.04","3","155"
"1264.4210526315792","2019-10-13T13:04:11.179Z","50.0107989","8.0410594","87.92603254060397","0.02","0.04","3","155"
"1317.105263157895","2019-10-13T13:04:11.234Z","50.0107989","8.0410594","87.92403254060396","0.054","0.02","3","155"
"1369.7894736842109","2019-10-13T13:04:11.289Z","50.0107987","8.0410594","87.94303254060397","0.043","0.06","3","155"
"1422.4736842105267","2019-10-13T13:04:11.344Z","50.0107987","8.0410594","87.95403254060396","0.074","0.04","3","155"
"1475.1578947368425","2019-10-13T13:04:11.399Z","50.0107988","8.0410594","87.93903254060398","0.058","0.07","3","155"
"1527.8421052631584","2019-10-13T13:04:11.454Z","50.0107988","8.0410595","87.93003254060396","0.097","0.06","3","155"
"1580.5263157894742","2019-10-13T13:04:11.509Z","50.0107988","8.0410595","87.94103254060398","0.177","0.1","3","155"
"1633.21052631579","2019-10-13T13:04:11.564Z","50.0107988","8.0410596","87.94003254060398","0.241","0.18","3","155"
"1685.8947368421059","2019-10-13T13:04:11.619Z","50.0107989","8.0410597","87.94703254060398","0.185","0.24","3","155"
"1738.5789473684217","2019-10-13T13:04:11.674Z","50.0107988","8.0410598","87.98903254060396","0.361","0.19","3","155"
"1791.2631578947376","2019-10-13T13:04:11.729Z","50.0107988","8.0410599","88.00503254060398","0.351","0.36","3","155"
"1843.9473684210534","2019-10-13T13:04:11.784Z","50.0107987","8.0410601","88.00903254060397","0.342","0.35","3","155"
"1896.6315789473692","2019-10-13T13:04:11.839Z","50.0107986","8.0410604","87.98603254060397","0.342","0.34","3","155"
"1949.315789473685","2019-10-13T13:04:11.894Z","50.0107984","8.0410607","87.99403254060398","0.396","0.34","3","155"
"2002","2019-10-13T13:04:11.949Z","50.0107984","8.0410608","87.98803254060398","0.324","0.4","3","155"
"2057.6111111111113","2019-10-13T13:04:12.007Z","50.0107983","8.041061","87.98603254060397","0.338","0.32","3","155"
"2113.2222222222226","2019-10-13T13:04:12.065Z","50.0107982","8.0410611","87.98303254060396","0.304","0.34","3","155"
"2168.833333333334","2019-10-13T13:04:12.123Z","50.010798","8.0410613","87.98003254060397","0.343","0.3","3","155"
"2224.4444444444453","2019-10-13T13:04:12.181Z","50.0107977","8.0410616","87.98103254060398","0.375","0.39","3","155"
"2280.0555555555566","2019-10-13T13:04:12.239Z","50.0107975","8.0410618","87.97403254060397","0.408","0.38","3","155"
"2335.666666666668","2019-10-13T13:04:12.297Z","50.0107974","8.0410622","87.97203254060396","0.435","0.41","3","155"
"2391.277777777779","2019-10-13T13:04:12.355Z","50.0107972","8.0410622","87.96503254060399","0.43","0.44","3","155"
"2446.8888888888905","2019-10-13T13:04:12.413Z","50.010797","8.0410624","87.96503254060399","0.409","0.43","3","155"
"2502.500000000002","2019-10-13T13:04:12.471Z","50.0107967","8.0410626","87.96203254060397","0.472","0.41","3","155"
"2558.111111111113","2019-10-13T13:04:12.529Z","50.0107965","8.0410627","87.96903254060398","0.431","0.47","3","155"
"2613.7222222222244","2019-10-13T13:04:12.587Z","50.0107966","8.0410628","87.97003254060398","0.219","0.43","3","155"
"2669.3333333333358","2019-10-13T13:04:12.645Z","50.0107963","8.0410632","87.97603254060398","0.414","0.22","3","155"
"2724.944444444447","2019-10-13T13:04:12.703Z","50.0107961","8.0410635","87.99203254060397","0.492","0.41","3","155"
"2780.5555555555584","2019-10-13T13:04:12.761Z","50.0107959","8.0410639","87.98203254060398","0.5","0.49","3","155"
"2836.1666666666697","2019-10-13T13:04:12.819Z","50.0107956","8.0410642","87.97403254060397","0.554","0.5","3","155"
"2891.777777777781","2019-10-13T13:04:12.877Z","50.0107953","8.0410647","87.97403254060397","0.606","0.55","3","155"
"2947.3888888888923","2019-10-13T13:04:12.935Z","50.0107952","8.0410651","87.98303254060396","0.563","0.61","3","155"
"3003","2019-10-13T13:04:12.994Z","50.0107949","8.0410656","87.98103254060398","0.634","0.56","3","155"
"3058.6111111111113","2019-10-13T13:04:13.052Z","50.0107947","8.0410659","87.97303254060397","0.621","0.56","3","155"
"3114.2222222222226","2019-10-13T13:04:13.110Z","50.0107947","8.0410659","87.97303254060397","0.621","0.56","3","155"
"3169.833333333334","2019-10-13T13:04:13.168Z","50.0107946","8.0410664","87.96803254060397","0.608","0.62","3","155"
"3225.4444444444453","2019-10-13T13:04:13.226Z","50.0107944","8.0410669","87.96403254060398","0.592","0.59","3","155"
"3281.0555555555566","2019-10-13T13:04:13.284Z","50.010794","8.0410677","87.96403254060398","0.657","0.59","3","155"
"3336.666666666668","2019-10-13T13:04:13.342Z","50.0107938","8.0410681","87.95203254060398","0.643","0.66","3","155"
"3392.277777777779","2019-10-13T13:04:13.400Z","50.0107937","8.0410686","87.92903254060398","0.595","0.64","3","155"
"3447.8888888888905","2019-10-13T13:04:13.458Z","50.0107933","8.041069","87.91003254060398","0.634","0.6","3","155"
"3503.500000000002","2019-10-13T13:04:13.516Z","50.0107929","8.0410692","87.89003254060397","0.644","0.63","3","155"
"3559.111111111113","2019-10-13T13:04:13.574Z","50.0107926","8.0410696","87.87803254060397","0.656","0.64","3","155"
"3614.7222222222244","2019-10-13T13:04:13.632Z","50.0107924","8.0410699","87.85103254060398","0.582","0.66","3","155"
"3670.3333333333358","2019-10-13T13:04:13.690Z","50.0107921","8.0410702","87.82003254060398","0.578","0.58","3","155"
"3725.944444444447","2019-10-13T13:04:13.748Z","50.0107917","8.0410705","87.80203254060397","0.645","0.58","3","155"
"3781.5555555555584","2019-10-13T13:04:13.806Z","50.0107911","8.0410707","87.76503254060397","0.706","0.65","3","155"
"3837.1666666666697","2019-10-13T13:04:13.864Z","50.0107907","8.041071","87.72003254060398","0.713","0.71","3","155"
"3892.777777777781","2019-10-13T13:04:13.922Z","50.0107904","8.0410713","87.71503254060399","0.68","0.72","3","155"
"3948.3888888888923","2019-10-13T13:04:13.980Z","50.0107901","8.0410718","87.69203254060396","0.699","0.68","3","155"
"4004","2019-10-13T13:04:14.039Z","50.0107896","8.041072","87.62603254060396","0.616","0.7","3","141"
"4059.6111111111113","2019-10-13T13:04:14.090Z","50.0107896","8.041072","87.62603254060396","0.616","0.66","3","141"
"4115.222222222223","2019-10-13T13:04:14.142Z","50.0107895","8.0410724","87.60703254060398","0.636","0.62","3","141"
"4170.833333333334","2019-10-13T13:04:14.194Z","50.0107892","8.0410727","87.59103254060396","0.685","0.64","3","141"
"4226.444444444445","2019-10-13T13:04:14.246Z","50.0107889","8.0410731","87.53803254060396","0.692","0.69","3","141"
"4282.055555555557","2019-10-13T13:04:14.298Z","50.0107884","8.0410732","87.51903254060396","0.755","0.69","3","141"
"4337.666666666668","2019-10-13T13:04:14.350Z","50.0107882","8.0410734","87.50403254060397","0.76","0.76","3","141"
"4393.277777777779","2019-10-13T13:04:14.402Z","50.0107879","8.0410737","87.46503254060399","0.775","0.76","3","141"
"4448.8888888888905","2019-10-13T13:04:14.454Z","50.0107877","8.041074","87.45003254060397","0.749","0.78","3","141"
"4504.500000000002","2019-10-13T13:04:14.506Z","50.0107875","8.0410745","87.41903254060396","0.844","0.75","3","141"
"4560.111111111113","2019-10-13T13:04:14.558Z","50.0107873","8.0410748","87.41803254060396","0.802","0.8","3","141"
"4615.722222222224","2019-10-13T13:04:14.610Z","50.0107871","8.0410751","87.41103254060398","0.82","0.8","3","141"
"4671.333333333336","2019-10-13T13:04:14.662Z","50.010787","8.0410754","87.40703254060396","0.801","0.82","3","141"
"4726.944444444447","2019-10-13T13:04:14.714Z","50.0107869","8.0410757","87.40203254060397","0.758","0.8","3","141"
"4782.555555555558","2019-10-13T13:04:14.766Z","50.0107865","8.041076","87.37703254060396","0.778","0.76","3","141"
"4838.16666666667","2019-10-13T13:04:14.818Z","50.0107862","8.0410762","87.38003254060398","0.697","0.78","3","141"
"4893.777777777781","2019-10-13T13:04:14.870Z","50.0107859","8.0410763","87.38703254060398","0.668","0.7","3","141"
"4949.388888888892","2019-10-13T13:04:14.922Z","50.0107857","8.0410767","87.38403254060397","0.676","0.67","3","141"
